email,password,device_id
sasidhar.chennamsetty+as1@sureify.com,Sureify@123,11caffierh85cgsyjgchis
sasidhar.chennamsetty+as2@sureify.com,Sureify@123,12caffierh85cgsyjgchis
sasidhar.chennamsetty+as3@sureify.com,Sureify@123,13caffierh85cgsyjgchis
sasidhar.chennamsetty+as4@sureify.com,Sureify@123,14caffierh85cgsyjgchis
sasidhar.chennamsetty+no2@sureify.com,Sureify@123,15caffierh85cgsyjgchis
sasidhar.chennamsetty+no3@sureify.com,Sureify@123,16caffierh85cgsyjgchis
sasidhar.chennamsetty+no4@sureify.com,Sureify@123,17caffierh85cgsyjgchis
sasidhar.chennamsetty+no5@sureify.com,Sureify@123,18caffierh85cgsyjgchis
sasidhar.chennamsetty+no6@sureify.com,Sureify@123,19caffierh85cgsyjgchis
sasidhar.chennamsetty+no7@sureify.com,Sureify@123,20caffierh85cgsyjgchis
sasidhar.chennamsetty+no8@sureify.com,Sureify@123,21caffierh85cgsyjgchis
sasidhar.chennamsetty+no9@sureify.com,Sureify@123,22caffierh85cgsyjgchis
sasidhar.chennamsetty+no10@sureify.com,Sureify@123,23caffierh85cgsyjgchis
sasidhar.chennamsetty+tag1@sureify.com,Sureify@123,24caffierh85cgsyjgchis
sasidhar.chennamsetty+plan1@sureify.com,Sureify@123,25caffierh85cgsyjgchis
sasidhar.chennamsetty+plan2@sureify.com,Sureify@123,26caffierh85cgsyjgchis
sasidhar.chennamsetty+merge1@sureify.com,Sureify@123,27caffierh85cgsyjgchis
sasidhar.chennamsetty+merge2@sureify.com,Sureify@123,28caffierh85cgsyjgchis
sasidhar.chennamsetty+merge3@sureify.com,Sureify@123,29caffierh85cgsyjgchis
sasidhar.chennamsetty+merge4@sureify.com,Sureify@123,30caffierh85cgsyjgchis
sasidhar.chennamsetty+merge5@sureify.com,Sureify@123,31caffierh85cgsyjgchis
sasidhar.chennamsetty+merge6@sureify.com,Sureify@123,32caffierh85cgsyjgchis
sasidhar.chennamsetty+merge7@sureify.com,Sureify@123,33caffierh85cgsyjgchis
